cat_periodo;tipo_inst_3;cod_inst;nomb_inst;rector_inst;estado
2025;Centros de Formación Técnica;959;CFT ACADEMIA CHILENA DE YOGA;RENÉ ESPINOZA;Vigente con matrícula
2025;Centros de Formación Técnica;382;CFT ALPES;PATRICIA URZÚA DAVIS;Vigente con matrícula
2025;Centros de Formación Técnica;534;CFT ASISTE;TAMARA UNDA ESCALONA;Vigente con matrícula
2021;Centros de Formación Técnica;258;CFT BARROS ARANA;SIN RECTOR;Sin matrícula desde 2021
2025;Centros de Formación Técnica;456;CFT CEDUC - UCN;CARLOS A. SAINZ LÓPEZ;Vigente con matrícula
2021;Centros de Formación Técnica;492;CFT CEITEC;SIN RECTOR;Sin matrícula desde 2021
2025;Centros de Formación Técnica;312;CFT CENCO;LUIS HORACIO ROJAS MANSILLA;Vigente con matrícula
2022;Centros de Formación Técnica;229;CFT CENTRO DE ENSEÑANZA DE ALTA COSTURA PAULINA DIARD;SIN RECTOR;Sin matrícula desde 2022
2024;Centros de Formación Técnica;236;CFT CENTRO TECNOLOGICO SUPERIOR INFOMED;SIN RECTOR;Sin matrícula desde 2024
2025;Centros de Formación Técnica;218;CFT DE ENAC;JORGE MENÉNDEZ GALLEGOS;Vigente con matrícula
2022;Centros de Formación Técnica;591;CFT DE LA INDUSTRIA GRAFICA;SIN RECTOR;Sin matrícula desde 2022
2025;Centros de Formación Técnica Estatales;908;CFT DE LA REGION DE ANTOFAGASTA;BANIRA PONCE RIVERA ;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;902;CFT DE LA REGION DE ARICA Y PARINACOTA;CARLOS ARAOS URIBE;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;909;CFT DE LA REGION DE ATACAMA;RODRIGO ANDRÉS MERIÑO ARANDA;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;919;CFT DE LA REGION DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;CHRISTOPHER CONTRERAS ESCOBAR (S);Vigente con matrícula
2025;Centros de Formación Técnica Estatales;910;CFT DE LA REGION DE COQUIMBO;HUGO KEITH ACEVEDO;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;916;CFT DE LA REGION DE LA ARAUCANIA;KAROLL IBAÑEZ GODEAU (S);Vigente con matrícula
2025;Centros de Formación Técnica Estatales;918;CFT DE LA REGION DE LOS LAGOS;JOSÉ MIGUEL O´RYAN;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;917;CFT DE LA REGION DE LOS RIOS;RAMÓN RUBIO DONOSO;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;920;CFT DE LA REGION DE MAGALLANES Y ANTARTICA CHILENA;VALERIA CAROLINA GALLARDO ABELLO;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;906;CFT DE LA REGION DE TARAPACA;JORGE VILLEGAS AHUMADA;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;911;CFT DE LA REGION DE VALPARAISO;RODRIGO CARLOS  JARUFE FUENTES;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;915;CFT DE LA REGION DEL BIO BIO;RENÉ LAGOS CUTIÑO;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;913;CFT DE LA REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;ADRIÁN PEREIRA SANTANA;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;914;CFT DE LA REGION DEL MAULE;NUBIA BALBOA NEIRA;Vigente con matrícula
2025;Centros de Formación Técnica Estatales;912;CFT DE LA REGION METROPOLITANA DE SANTIAGO;CAROLINA SÁNCHEZ GAETE   ;Vigente con matrícula
2022;Centros de Formación Técnica;536;CFT DE TARAPACA;SIN RECTOR;Sin matrícula desde 2022
2025;Centros de Formación Técnica;435;CFT DEL MEDIO AMBIENTE;PAOLA CERDA ALISTE;Vigente con matrícula
2022;Centros de Formación Técnica;398;CFT EDUCAP;SIN RECTOR;Sin matrícula desde 2022
2025;Centros de Formación Técnica;730;CFT ESCUELA CULINARIA FRANCESA;CARMEN VERSLUYS CASTRO;Vigente con matrícula
2025;Centros de Formación Técnica;426;CFT ESCUELA DE COMERCIO;FERNANDO MARTÍNEZ SANTANA;Vigente con matrícula
2022;Centros de Formación Técnica;305;CFT ESCUELA SUPERIOR DE ADMINISTRACION DE NEGOCIOS DEL NORTE - ESANE DEL NORTE;SIN RECTOR;Sin matrícula desde 2022
2022;Centros de Formación Técnica;374;CFT ICEL;SIN RECTOR;Sin matrícula desde 2022
2025;Centros de Formación Técnica;430;CFT INACAP;LUIS EDUARDO PRIETO FERNÁNDEZ;Vigente con matrícula
