cod_inst;vacantes2021;vacantes2022;vacantes2023;vacantes2024;vacantes2025;categoria;desagregacion;cod_tab
1;1503;8449;8842;11034;6809;0;0;1000
1;0;0;0;0;0;1;3;1103
1;40;298;298;298;323;1;4;1104
1;669;1541;1814;1606;1606;1;5;1105
1;540;3320;3440;5820;3850;1;7;1107
1;254;3290;3290;3310;1030;1;9;1109
1;265;405;480;590;590;2;1;1201
1;902;2957;120;37;37;2;2;1202
1;20;920;20;80;80;2;3;1203
1;316;4167;8222;10327;6102;2;4;1204
1;316;4167;8222;10327;6102;3;0;1300
1;1167;3362;600;627;627;3;1;1301
1;20;920;20;80;80;3;2;1302
2;3816;4101;5212;3504;3694;0;0;2000
2;30;30;0;0;0;1;1;2101
2;;;;40;;1;2;2102
2;189;190;185;170;170;1;4;2104
2;1622;1700;1810;1725;1950;1;5;2105
2;48;197;65;104;82;1;6;2106
2;1310;1303;1999;937;1021;1;7;2107
2;43;70;124;53;68;1;8;2108
2;574;608;1026;469;393;1;9;2109
2;;3;3;6;10;1;10;2110
2;2196;2337;2471;2165;2332;2;1;2201
2;1168;674;767;379;238;2;2;2202
2;298;806;712;569;500;2;3;2203
2;154;284;1262;391;624;2;4;2204
2;154;284;1262;391;624;3;0;2300
2;3200;2989;3238;2522;2570;3;1;2301
2;462;828;712;591;500;3;2;2302
3;5845;6272;6381;6974;7644;0;0;3000
3;266;266;251;307;355;1;1;3101
3;0;0;0;0;0;1;3;3103
3;167;156;140;161;152;1;4;3104
3;3252;3135;3218;3347;3522;1;5;3105
3;31;74;81;116;153;1;6;3106
3;1330;1776;1773;1968;2367;1;7;3107
3;256;373;235;342;243;1;8;3108
3;521;470;657;710;827;1;9;3109
3;22;22;26;23;25;1;10;3110
3;3533;3540;3763;3968;4178;2;1;3201
3;1797;1743;979;1111;971;2;2;3202
3;154;144;323;619;748;2;3;3203
3;361;820;1316;1276;1747;2;4;3204
3;0;25;0;0;0;2;5;3205
3;361;820;1316;1276;1747;3;0;3300
3;5330;5308;4742;5079;5149;3;1;3301
3;154;144;323;619;748;3;2;3302
4;7728;7919;7910;7565;7591;0;0;4000
4;645;380;190;0;0;1;2;4102
4;180;530;460;430;181;1;3;4103
4;180;165;175;265;135;1;4;4104
4;3275;4400;4587;4453;4529;1;5;4105
4;1480;845;625;850;1140;1;7;4107
4;265;106;115;105;140;1;8;4108
4;1700;1490;1755;1455;1460;1;9;4109
4;3;3;3;7;6;1;10;4110
4;2963;2778;2715;2745;2834;2;1;4201
4;4025;3546;3105;2460;2143;2;2;4202
4;135;235;90;200;150;2;3;4203
4;595;1360;2000;2160;2464;2;4;4204
4;10;;;;;2;5;4205
4;595;1360;2000;2160;2464;3;0;4300
4;6998;6324;5820;5205;4977;3;1;4301
4;135;235;90;200;150;3;2;4302
7;270;625;330;1190;0;0;0;7000
7;0;50;0;0;0;1;2;7102
7;90;150;40;320;0;1;3;7103
7;60;125;25;190;0;1;4;7104
7;90;250;265;680;0;1;5;7105
7;30;50;0;0;;1;7;7107
7;0;0;0;0;0;1;9;7109
7;0;0;;;;1;10;7110
7;0;0;60;270;0;2;1;7201
7;0;0;90;730;0;2;2;7202
7;0;0;0;0;;2;3;7203
7;270;625;180;190;0;2;4;7204
7;270;625;180;190;0;3;0;7300
