cod_inst;programas2021;programas2022;programas2023;programas2024;programas2025;categoria;desagregacion;cod_tab
1;1377;1981;2939;3948;4687;0;0;1000
1;3;1;1;1;1;1;3;1103
1;152;217;264;310;345;1;4;1104
1;1038;1594;2390;3319;3951;1;5;1105
1;112;51;40;100;216;1;7;1107
1;72;118;244;218;174;1;9;1109
1;625;584;824;1103;1169;2;1;1201
1;333;288;279;141;65;2;2;1202
1;62;56;97;59;42;2;3;1203
1;357;1053;1739;2645;3411;2;4;1204
1;958;872;1103;1244;1234;3;1;1301
1;62;56;97;59;42;3;2;1302
1;357;1053;1739;2645;3411;3;3;1303
2;10310;10420;10227;10243;10468;0;0;2000
2;20;18;9;;;1;1;2101
2;645;634;631;656;618;1;4;2104
2;7810;7848;7994;8153;8404;1;5;2105
2;120;170;207;236;260;1;6;2106
2;709;568;515;250;321;1;7;2107
2;;14;67;158;117;1;8;2108
2;1006;1165;795;775;731;1;9;2109
2;;3;9;15;17;1;10;2110
2;8453;8443;8552;8769;9121;2;1;2201
2;1470;1548;722;661;503;2;2;2202
2;307;390;610;655;653;2;3;2203
2;80;39;343;158;191;2;4;2204
2;9812;9869;9235;9429;9624;3;1;2301
2;418;512;649;656;653;3;2;2302
2;80;39;343;158;191;3;3;2303
3;19885;19431;20762;21520;22186;0;0;3000
3;250;208;250;330;415;1;1;3101
3;;1;;;;1;3;3103
3;541;545;568;560;602;1;4;3104
3;15968;15564;16063;16390;17141;1;5;3105
3;124;172;224;306;367;1;6;3106
3;1319;1244;1902;1947;1718;1;7;3107
3;411;519;453;401;359;1;8;3108
3;1168;1052;1164;1451;1439;1;9;3109
3;104;126;138;135;145;1;10;3110
3;15963;15846;16669;17469;18397;2;1;3201
3;3414;2937;2534;2121;1928;2;2;3202
3;107;114;285;384;432;2;3;3203
3;360;495;1258;1531;1422;2;4;3204
3;41;39;16;15;7;2;5;3205
3;19418;18822;19219;19605;20332;3;1;3301
3;107;114;285;384;432;3;2;3302
3;360;495;1258;1531;1422;3;3;3303
4;13993;14253;14349;15535;17338;0;0;4000
4;719;485;286;118;50;1;2;4102
4;290;505;476;537;363;1;3;4103
4;190;109;156;162;154;1;4;4104
4;10628;10895;11715;12745;14310;1;5;4105
4;173;158;64;161;295;1;7;4107
4;64;33;21;33;78;1;8;4108
4;1926;2065;1622;1764;2068;1;9;4109
4;3;3;9;15;20;1;10;4110
4;9790;9407;9729;10573;11784;2;1;4201
4;3035;2995;2503;2443;2592;2;2;4202
4;76;71;106;152;136;2;3;4203
4;1092;1780;2011;2367;2826;2;4;4204
4;12825;12402;12232;13016;14376;3;1;4301
4;76;71;106;152;136;3;2;4302
4;1092;1780;2011;2367;2826;3;3;4303
7;2574;1368;850;416;294;0;0;7000
7;328;47;1;3;;1;2;7102
7;359;279;222;120;85;1;3;7103
7;133;44;30;3;5;1;4;7104
7;1611;972;580;289;204;1;5;7105
7;7;;;;;1;7;7107
7;133;26;17;1;;1;9;7109
7;3;;;;;1;10;7110
7;363;249;102;48;35;2;1;7201
7;907;451;203;124;73;2;2;7202
7;268;1;;;;2;3;7203
7;1036;667;545;244;186;2;4;7204
7;1270;700;305;172;108;3;1;7301
7;268;1;;;;3;2;7302
7;1036;667;545;244;186;3;3;7303
9;6060;6594;7017;8470;9296;0;0;9000
9;6022;6476;6815;8174;8882;1;5;9105
9;;20;11;42;95;1;7;9107
9;38;98;191;254;319;1;9;9109
9;4780;5100;5380;5953;6065;2;1;9201
9;1280;1337;1247;1253;1250;2;2;9202
9;;157;390;1264;1981;2;4;9204
9;6060;6437;6627;7206;7315;3;1;9301
9;;157;390;1264;1981;3;3;9303
